hydrological_year,glacier_index,longitude,latitude,winter_temperature_c,summer_temperature_c,winter_precipitation_mm,summer_precipitation_mm
2052,571,6.99,45.969,-4.797902528271222,8.762169247020598,771.8286991606735,733.6305977396819
2052,572,6.992,45.913,-4.9588340659616685,8.576549720863083,752.8845157202463,698.8321853639977
2052,574,6.994,45.896,-5.013207904249143,8.514086538412592,746.3256085759663,687.5899619061446
2052,575,6.994,45.965,-4.8257818831855515,8.731325897774836,768.091375671663,729.1241091042224
2052,577,7.0,45.895,-5.040213929260203,8.48429466940788,742.4014949221042,684.1063518313176
2052,579,7.003,45.96,-4.879251200839216,8.676135709092945,761.9199844724255,722.0160778409054
2052,582,7.008,45.954,-4.918579974766957,8.637970288680592,758.5334412554923,716.8695466380398
2053,423,6.776,45.799,-2.221345547904316,8.192380209988288,774.9803984602399,807.66279845455
2053,424,6.778,45.809,-2.1977042261577946,8.21568670261262,777.5883083806913,817.0810251954312
2053,427,6.783,45.817,-2.19171987606402,8.22041617167968,778.0056182190727,822.956275818496
2053,429,6.784,45.784,-2.2975606655342373,8.112986240533068,765.7484846689565,788.4535580557538
2053,431,6.785,45.822,-2.183827362891953,8.227907956569977,778.812114610975,827.1661736438335
2053,437,6.792,45.817,-2.2257279176729345,8.18369787551102,773.5902185666291,818.5432395352966
2053,447,6.799,45.819,-2.246077643071487,8.161356626979536,770.8621505604783,817.1644590859448
2053,448,6.799,45.827,-2.2773194266548336,8.040625122045277,801.9967847488887,830.294804020203
2053,449,6.799,45.837,-2.1911688803961673,8.217313463376442,777.2515781403218,835.7131815378991
2053,459,6.811,45.849,-2.2009900929959456,8.205068710055162,775.5416634310706,841.965391996995
2053,460,6.819,45.856,-2.2109828982284054,8.193581146850565,774.0154143928593,845.0125587882561
2053,462,6.823,45.859,-2.2175891535417276,8.186236791283672,773.0672331321803,845.9979237417408
2053,464,6.831,45.863,-2.236925200276119,8.16531832924414,770.4541889822252,845.8822487517854
2053,468,6.844,45.863,-2.2877344722139026,8.111359523533878,763.9156723865084,839.0333027351871
2053,484,6.862,45.976,-2.0334585460739203,8.376964526515415,793.9624130282338,944.6580456919231
2053,488,6.865,45.868,-2.355489256528331,8.039230473212903,755.0492870223283,832.9401375393749
2053,489,6.865,45.99,-2.0060389983458915,8.406088725837202,797.2559939999973,957.4160012724499
2053,490,6.865,45.99,-2.0060389983458915,8.406088725837202,797.2559939999973,957.4160012724499
2053,491,6.865,45.99,-2.0060389983458915,8.406088725837202,797.2559939999973,957.4160012724499
2053,497,6.871,45.984,-2.116504477664422,8.223724460075125,819.7449929963444,951.9124926335323
2053,498,6.871,45.984,-2.116504477664422,8.223724460075125,819.7449929963444,951.9124926335323
2053,499,6.871,45.984,-2.116504477664422,8.223724460075125,819.7449929963444,951.9124926335323
2053,500,6.871,45.992,-2.0942294012249145,8.24805913758223,822.5808147174414,960.2917400290318
2053,503,6.875,45.88,-2.360680607962657,8.033546219291924,754.0834413238791,839.4912610999518
2053,504,6.877,45.985,-2.071390529966968,8.33899001417931,789.1262310658861,944.6275443993909
2053,506,6.88,45.886,-2.363530111548123,8.030565440137469,753.5814964674524,842.7158242104558
2053,509,6.882,45.877,-2.3968242668900364,7.995365613747472,749.5036220069619,832.7594967551847
2053,517,6.888,45.882,-2.406514209819304,7.985190148454698,748.1447525149723,834.4317899853189
2053,518,6.889,45.892,-2.3825096117662605,8.010710809465465,751.0195006052203,843.7068179449769
2053,524,6.901,45.901,-2.405526608846724,7.9869307251207005,747.8989394554679,845.8913732419908
2053,526,6.906,45.895,-2.4420967774460847,7.948221401639862,743.3145339272737,837.2738446262051
