hydrological_year,glacier_index,annual_temperature_c,winter_temperature_c,summer_temperature_c,annual_precipitation_mm,winter_precipitation_mm,summer_precipitation_mm,RGI_ID,GLIMS_ID,glacier_name,latitude,longitude,mass_balance
1982,574,0.8311264216766392,-5.516371604629513,7.178624655517581,1788.1970347290053,1114.795637268067,673.4013974609383,3258,G006994E45896N,de Pierre Joseph,45.896,6.994,-0.2881142
1982,575,1.0316177727604023,-5.324036261405934,7.38727202735902,1871.9169764709518,1140.9123246765153,731.0046517944365,3619,G006994E45965N,du Trident,45.965,6.994,-0.268226
1982,577,0.7982791882753463,-5.553892822265617,7.150451412200937,1778.0069923400918,1108.2685279846203,669.7384643554714,3301,G007000E45895N,de l'Aiguille de l'Eboulement,45.895,7.0,-0.3306246
1982,579,0.9718206652116794,-5.39102719566345,7.334668753738406,1853.8973780822762,1131.2830021667482,722.614375915528,3640,G007003E45960N,du Chardonnet,45.96,7.003,-0.2512478
1982,582,0.9313213747577683,-5.435119224365232,7.2977621978454605,1841.9100867919929,1126.2112474365238,715.6988393554692,3356,G007008E45954N,du Milieu,45.954,7.008,-0.1882626
1983,423,1.1715874436154354,-5.153206098052979,7.496381100708008,2028.8354721069331,1064.307951904297,964.5275202026364,3344,G006776E45799N,de la Berangere,45.799,6.776,-0.1082638
1983,424,1.199182221314423,-5.126166525512703,7.524531058013909,2038.5159530639621,1066.2388218383785,972.277131225584,3601,G006778E45809N,d'Armancette,45.809,6.778,-0.0521553
1983,427,1.2078325016162388,-5.116054293258669,7.531719368728637,2041.89680480957,1065.4587227478025,976.4380820617677,3650,G006783E45817N,de Covagnet,45.817,6.783,0.0153982
1983,429,1.0873324580345123,-5.229942277496341,7.404607354034421,2000.6162109374989,1054.0158017578124,946.6004091796865,3651,G006784E45784N,de Tre la Tete 1,45.784,6.784,-0.1729732
1983,431,1.2176142915797323,-5.106050131378165,7.541278775100717,2045.4047317504915,1065.7257275390632,979.6790042114282,3276,G006785E45822N,du Miage 1,45.822,6.785,-0.1776729
1983,437,1.1724088540949835,-5.146328508941649,7.4911462963256845,2030.4300308227544,1059.3299636230472,971.1000671997073,3388,G006792E45817N,du Miage 2,45.817,6.792,-0.0185389
1983,447,1.1518765399668294,-5.163262623184197,7.4670157826080406,2023.9031066894556,1055.205508941651,968.6975977478048,3579,G006799E45819N,du Miage 3,45.819,6.799,-0.0104218
1983,448,1.1799541868536394,-5.136812631362923,7.496721064102165,2033.4698181152319,1057.774940826415,975.6948772888165,3649,G006799E45827N,du Miage 4,45.827,6.799,-0.2245475
1983,449,1.2150512454621893,-5.1037501415862945,7.53385266596986,2045.4282073974646,1060.986730682374,984.4414767150906,3296,G006799E45837N,du Tricot,45.837,6.799,-0.1437573
1983,459,1.2093591855504398,-5.105540772811901,7.524259158340442,2044.067367553707,1056.5427192077627,987.5246483459443,3648,G006811E45849N,de Bionnassay,45.849,6.811,-0.1020759
1983,460,1.2018444084205688,-5.110441816894526,7.514130638900764,2041.8104934692403,1053.2127532348638,988.5977402343764,3438,G006819E45856N,de Tete Rousse,45.856,6.819,-0.151389
1983,462,1.196287088783507,-5.11463140077209,7.507205580337529,2040.051177978517,1051.3772994689944,988.6738785095228,3280,G006823E45859N,de la Griaz,45.859,6.823,0.0155702
1983,464,1.178141016949889,-5.1296459831085235,7.485928017837522,2034.1320800781239,1047.0613989562983,987.0706811218256,3290,G006831E45863N,du Bourgeat,45.863,6.831,0.0676719
1983,468,1.1260749684615108,-5.175088423553469,7.427238375061032,2016.911979675292,1038.0117799072264,978.9001997680658,3647,G006844E45863N,Taconnaz,45.863,6.844,0.1178987
1983,484,1.4398832359619105,-4.884795523773197,7.764561784484859,2120.3773956298814,1059.4299342041013,1060.9474614257806,3449,G006862E45976N,de la Floria,45.976,6.862,-0.0983233
1983,488,1.0590209444952075,-5.232909508666986,7.3509514237213205,1994.71154022217,1024.8903652954107,969.8211749267595,3646,G006865E45868N,Bossons,45.868,6.865,-0.1049396
1983,489,1.4751060862898886,-4.852612717437739,7.802824654006964,2131.757698059084,1061.422064208985,1070.3356338500992,3709,G006865E45990N,du Mort 2,45.99,6.865,-0.1744461
1983,490,1.4751060862898886,-4.852612717437739,7.802824654006964,2131.757698059084,1061.422064208985,1070.3356338500992,3710,G006865E45990N,du Mort 1,45.99,6.865,-0.1417824
1983,491,1.4751060862898886,-4.852612717437739,7.802824654006964,2131.757698059084,1061.422064208985,1070.3356338500992,3711,G006865E45990N,du Mort 3,45.99,6.865,-0.1761943
1983,497,1.4295215076484722,-4.894368956176754,7.753411759201055,2116.2723770141615,1055.2095488891605,1061.062828125001,0,G006871E45984N,des Dards 1,45.984,6.871,-0.1389986
1983,498,1.4295215076484722,-4.894368956176754,7.753411759201055,2116.2723770141615,1055.2095488891605,1061.062828125001,0,G006871E45984N,des Dards 1,45.984,6.871,-0.133633
1983,499,1.4295215076484722,-4.894368956176754,7.753411759201055,2116.2723770141615,1055.2095488891605,1061.062828125001,3812,G006871E45984N,des Dards 2,45.984,6.871,-0.1033222
1983,500,1.456733654214848,-4.8695689614257915,7.783036040695178,2125.2062759399378,1057.5892600707996,1067.6170158691382,3573,G006871E45992N,de Berard,45.992,6.871,-0.1385399
1983,503,1.0596411025524226,-5.230945968627922,7.350228185653696,1994.7584915161162,1021.4664077758796,973.2920837402364,3483,G006875E45880N,Rond,45.88,6.875,-0.2300971
1983,504,1.4077926353943337,-4.914339262161256,7.729924329452514,2108.6371765136714,1051.0891621398926,1057.548014373779,3450,G006877E45985N,du Belvedere,45.985,6.877,-0.055556
1983,506,1.0598159471559623,-5.230222010650626,7.349853910369884,1994.6830902099643,1019.724785156251,974.9583050537132,3265,G006880E45886N,du Telepherique,45.886,6.88,-0.1931224
1983,509,1.0212717590131857,-5.264961326782218,7.307504871002209,1982.0414352417024,1015.6728179321298,966.3686173095725,3391,G006882E45877N,Ouest de l'Aiguille du Midi,45.877,6.882,-0.0579831
1983,517,1.0139949265012673,-5.270918877838141,7.298908753875725,1979.4917144775368,1012.927725585937,966.5639888915998,3644,G006888E45882N,Arete Midi Plan,45.882,6.888,0.2499804
1983,518,1.0437060107164475,-5.243984507812492,7.331396533462534,1989.1158370971712,1015.1406941528327,973.9751429443381,3389,G006889E45892N,des Pelerins,45.892,6.889,-0.2750668
1983,524,1.0253300980494144,-5.2598016911773575,7.31046188902284,1982.5920410156286,1009.2608202209485,973.3312207946806,3518,G006901E45901N,de Blaitiere,45.901,6.901,-0.218971
1983,526,0.9849256369543192,-5.295822257385243,7.265673550872815,1969.2904739379924,1004.0020016479504,965.2884722900417,3381,G006906E45895N,du Plan,45.895,6.906,-0.0496578
1983,527,0.9794549836246924,-5.300601683181767,7.259511670028681,1967.3611145019518,1002.4519031066891,964.9092113952627,3317,G006909E45897N,du Fou,45.897,6.909,-0.081601
1983,530,1.0006855912556534,-5.28155507083131,7.282926258178698,1973.9921188354456,1003.1695278320303,970.8225910034153,3645,G006912E45907N,des Nantillons,45.907,6.912,-0.0934459
1983,531,0.9688578311362244,-5.3098688669128435,7.247584545150755,1963.3173751831046,997.913554321289,965.4038208618158,3418,G006919E45906N,de la Republique,45.906,6.919,-0.1380772
1983,534,0.9651187692084343,-5.3132217294616675,7.24345928155518,1961.750602722169,995.7621505126956,965.9884522094735,3582,G006924E45911N,de la Thendia,45.911,6.924,-0.2891378
1983,535,0.9289147273802798,-5.345374328155514,7.203203812561039,1949.9164810180678,991.2422753906253,958.6742056274423,3313,G006928E45905N,de Trelaporte,45.905,6.928,-0.2602559
1983,537,0.831754794160851,-5.431299316040032,7.094808979766855,1918.6463699340845,980.8948350219732,937.7515349121113,3643,G006934E45883N,Mer de Glace ,45.883,6.934,0.6652951
1983,539,0.943664086537122,-5.3333719769744885,7.220700158828734,1952.8026885986326,985.3811434020995,967.421545196533,3519,G006947E45933N,des Drus,45.933,6.947,-0.1659152
1983,541,0.9469108942606467,-5.330931349746702,7.224753143325808,1953.3696594238288,984.1311026916507,969.238556732178,3263,G006951E45939N,du Nant Blanc,45.939,6.951,-0.1547625
1983,542,0.9821493037076016,-5.300229007965086,7.264527602661135,1964.2945175170905,986.6593586425782,977.6351588745122,3639,G006952E45951N,de la Pendant,45.951,6.952,-0.0698961
1983,543,0.8911301855242236,-5.380096968154909,7.162357369461058,1935.4437561035152,978.008918609619,957.4348374938962,3284,G006955E45927N,de la Charpoua,45.927,6.955,0.0306508
1983,544,0.953360876481526,-5.325768847503668,7.232490600509635,1954.9083480834938,983.1350482177727,971.773299865721,3475,G006955E45946N,des Grands Montets,45.946,6.955,-0.1673187
